Lebanon,#000088,#000081
Senegal,#000080,#00007f
Zambia,#00007f,#00007f
Antigua and Barbuda,#00008a,#00007f
Mauritania,#00007f,#00007f
Gibraltar,#007dff,#00007f
Namibia,#00007f,#00007f
Lithuania,#000093,#000082
Brazil,#000081,#000080
Jordan,#000083,#00007f
Eritrea,#00007f,#00007f
Andorra,#99ff65,#0000bf
St. Vincent Grenadines,#000080,#00007f
Sint Maarten,#00008a,#00007f
Timor-Leste,#00007f,#00007f
Latvia,#000096,#00007f
Iceland,#16ffe8,#000089
Macao,#000087,#00007f
Somalia,#00007f,#00007f
Ghana,#000080,#00007f
Austria,#0003ff,#000089
Réunion,#000098,#00007f
Guadeloupe,#00009b,#000082
Venezuela,#000080,#00007f
Belarus,#000081,#00007f
Serbia,#000088,#000080
Ukraine,#000080,#00007f
Greece,#00008d,#000084
Afghanistan,#00007f,#00007f
Bahrain,#0000aa,#000082
Honduras,#000080,#00007f
Paraguay,#000080,#000080
Sweden,#0000ae,#00008e
Liechtenstein,#0064ff,#00007f
Mozambique,#00007f,#00007f
Montserrat,#001cff,#00007f
Armenia,#000090,#00007f
Cayman Islands,#000092,#000098
Switzerland,#0068ff,#0000ab
Singapore,#000092,#00007f
Grenada,#000089,#00007f
S. Korea,#00009b,#000084
Papua New Guinea,#00007f,#00007f
Brunei,#0000a8,#00007f
Kyrgyzstan,#000080,#00007f
Colombia,#000081,#00007f
Bolivia,#000080,#00007f
Hungary,#000084,#000081
Angola,#00007f,#00007f
Costa Rica,#000086,#000080
Isle of Man,#0000b4,#00007f
Belgium,#0000e0,#0000a8
Algeria,#000080,#000080
Palestine,#000082,#00007f
Albania,#000089,#000084
Cuba,#000080,#00007f
Mexico,#000080,#00007f
Liberia,#00007f,#00007f
St. Barth,#0000ce,#00007f
Denmark,#0000b6,#00008e
French Polynesia,#000090,#00007f
Czechia,#0000a0,#000080
Diamond Princess,#00007f,#00007f
Germany,#0000da,#000086
Cabo Verde,#000080,#000082
Taiwan,#000081,#00007f
Netherlands,#0000cd,#0000b4
Ireland,#0000b8,#000086
South Africa,#000082,#00007f
USA,#0000ab,#000086
Azerbaijan,#000081,#00007f
Thailand,#000081,#00007f
Iraq,#000081,#000081
Mongolia,#00007f,#00007f
Saint Lucia,#000081,#00007f
San Marino,#7f0000,#7f0000
Turks and Caicos,#000087,#00007f
China,#000088,#000082
Sudan,#00007f,#00007f
Saudi Arabia,#000084,#00007f
Eswatini,#000080,#00007f
Iran,#0000bb,#0000ad
Greenland,#00009a,#00007f
Syria,#00007f,#00007f
India,#00007f,#00007f
Barbados,#00008c,#00007f
Spain,#0055ff,#002fff
Saint Kitts and Nevis,#000085,#00007f
Vatican City,#ff7500,#00007f
Nepal,#00007f,#00007f
Finland,#00009c,#000081
Bhutan,#000080,#00007f
Maldives,#000084,#00007f
Oman,#000083,#00007f
UK,#0000a0,#000091
Cambodia,#000080,#00007f
Kenya,#00007f,#00007f
Libya,#00007f,#00007f
Mauritius,#00008a,#000082
Curaçao,#000086,#000089
Montenegro,#000091,#000082
Ethiopia,#00007f,#00007f
Panama,#000097,#000082
DRC,#00007f,#00007f
Guyana,#000080,#000081
Anguilla,#000094,#00007f
Chad,#00007f,#00007f
Djibouti,#000081,#00007f
Chile,#00008c,#00007f
France,#0000c4,#0000aa
Kazakhstan,#000080,#00007f
Malaysia,#000089,#000080
Norway,#0000e9,#000086
Poland,#000084,#000080
Moldova,#000087,#000080
Cameroon,#00007f,#00007f
Saint Martin,#0000ab,#00007f
Tunisia,#000082,#000080
Aruba,#0000a8,#00007f
British Virgin Islands,#000089,#00007f
Israel,#0000b5,#000081
French Guiana,#00008e,#00007f
Gambia,#00007f,#000080
Hong Kong,#00008a,#000080
Morocco,#000080,#000080
Italy,#005eff,#0079ff
CAR,#00007f,#00007f
Guinea-Bissau,#00007f,#00007f
Kuwait,#000087,#00007f
New Caledonia,#000087,#00007f
Slovenia,#0000ae,#000086
Belize,#000080,#00007f
New Zealand,#00008b,#00007f
Tanzania,#00007f,#00007f
Croatia,#000095,#000080
Cyprus,#000094,#000086
Equatorial Guinea,#000080,#00007f
Faeroe Islands,#4affb4,#00007f
Guatemala,#00007f,#00007f
Fiji,#000080,#00007f
Canada,#000092,#000081
Indonesia,#000080,#00007f
UAE,#000085,#00007f
Australia,#000092,#000080
Madagascar,#00007f,#00007f
Sri Lanka,#000080,#00007f
Ivory Coast,#000080,#00007f
Vietnam,#00007f,#00007f
Uruguay,#00008a,#00007f
Togo,#00007f,#00007f
Myanmar,#00007f,#00007f
Luxembourg,#0fffef,#0000a7
Estonia,#0000c2,#000080
Turkey,#00008a,#000081
Rwanda,#000080,#00007f
Laos,#00007f,#00007f
Argentina,#000081,#00007f
Burkina Faso,#000080,#000080
Bahamas,#000083,#00007f
Congo,#00007f,#00007f
Mali,#00007f,#00007f
Bermuda,#0000a4,#00007f
Uganda,#00007f,#00007f
Georgia,#000082,#00007f
Nigeria,#00007f,#00007f
Jamaica,#000080,#00007f
Seychelles,#00008a,#00007f
Bulgaria,#000086,#000080
Channel Islands,#0000c6,#000089
Niger,#00007f,#00007f
Russia,#000080,#00007f
Martinique,#0000a1,#000084
Dominican Republic,#000087,#000082
Peru,#000082,#00007f
Mayotte,#00009b,#00007f
Haiti,#00007f,#00007f
Dominica,#000097,#00007f
Japan,#000081,#000080
Malta,#0000b0,#00007f
Gabon,#00007f,#000080
Guinea,#00007f,#00007f
Bosnia and Herzegovina,#00008a,#000081
Uzbekistan,#00007f,#00007f
Zimbabwe,#00007f,#00007f
Bangladesh,#00007f,#00007f
Philippines,#000080,#000080
Suriname,#000081,#00007f
Pakistan,#000080,#00007f
Portugal,#0000c0,#00008b
Trinidad and Tobago,#000086,#000081
Ecuador,#00008d,#000082
Romania,#000089,#000081
Benin,#00007f,#00007f
Monaco,#0026ff,#00007f
Qatar,#00009d,#00007f
Nicaragua,#00007f,#00007f
Egypt,#000080,#00007f
El Salvador,#00007f,#00007f
Slovakia,#000087,#00007f
North Macedonia,#00008f,#000081
