Lebanon,391,23,8,2,27,356,3,57.0,1.0
Senegal,119,14,0,0,11,108,0,7.0,0.0
Zambia,22,6,0,0,0,22,0,1.0,0.0
Antigua and Barbuda,7,0,0,0,0,7,0,71.0,0.0
Mauritania,3,0,0,0,0,3,0,0.6,0.0
Gibraltar,55,20,0,0,14,41,0,1632.0,0.0
Namibia,8,0,0,0,2,6,0,3.0,0.0
Lithuania,358,59,5,1,1,352,2,132.0,2.0
Brazil,3027,42,77,0,6,2944,296,14.0,0.4
Jordan,235,23,0,0,16,219,0,23.0,0.0
Eritrea,6,0,0,0,0,6,0,2.0,0.0
Andorra,267,43,3,0,1,263,11,3456.0,39.0
St. Vincent Grenadines,1,0,0,0,0,1,0,9.0,0.0
Sint Maarten,3,0,0,0,0,3,0,70.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0
Latvia,280,36,0,0,1,279,0,148.0,0.0
Iceland,890,88,2,0,97,791,18,2608.0,6.0
Macao,34,1,0,0,10,24,0,52.0,0.0
Somalia,3,1,0,0,0,3,0,0.2,0.0
Ghana,136,4,4,0,1,131,1,4.0,0.1
Austria,7610,701,58,9,225,7327,128,845.0,6.0
Réunion,145,10,0,0,1,144,0,162.0,0.0
Guadeloupe,73,0,1,0,0,72,4,182.0,2.0
Venezuela,107,0,1,0,31,75,2,4.0,0.04
Belarus,94,8,0,0,32,62,2,10.0,0.0
Serbia,528,71,8,1,42,478,25,60.0,0.9
Ukraine,226,30,5,0,5,216,0,5.0,0.1
Greece,966,74,28,1,52,886,66,93.0,3.0
Afghanistan,94,0,4,0,2,88,0,2.0,0.1
Bahrain,466,8,4,0,227,235,1,274.0,2.0
Honduras,68,1,1,0,0,67,0,7.0,0.1
Paraguay,52,11,3,0,1,48,1,7.0,0.4
Sweden,3046,206,92,15,16,2938,214,302.0,9.0
Liechtenstein,56,0,0,0,0,56,0,1469.0,0.0
Mozambique,7,0,0,0,0,7,0,0.2,0.0
Montserrat,5,0,0,0,0,5,0,1002.0,0.0
Armenia,329,39,1,0,28,300,6,111.0,0.3
Cayman Islands,8,0,1,0,0,7,0,122.0,15.0
Switzerland,12928,1117,231,39,1530,11167,203,1494.0,27.0
Singapore,732,49,2,0,183,547,17,125.0,0.3
Grenada,7,0,0,0,0,7,0,62.0,0.0
S. Korea,9332,91,139,8,4528,4665,59,182.0,3.0
Papua New Guinea,1,0,0,0,0,1,0,0.1,0.0
Brunei,115,1,0,0,11,104,1,263.0,0.0
Kyrgyzstan,58,14,0,0,0,58,0,9.0,0.0
Colombia,491,0,6,0,8,477,0,10.0,0.1
Bolivia,61,0,0,0,0,61,0,5.0,0.0
Hungary,300,39,10,0,34,256,6,31.0,1.0
Angola,4,0,0,0,0,4,0,0.1,0.0
Costa Rica,231,0,2,0,2,227,5,45.0,0.4
Isle of Man,29,3,0,0,0,29,0,341.0,0.0
Belgium,7284,1049,289,69,858,6137,690,628.0,25.0
Algeria,409,42,26,1,29,354,0,9.0,0.6
Palestine,91,5,1,0,17,73,0,18.0,0.2
Albania,186,12,8,2,31,147,3,65.0,3.0
Cuba,80,13,2,0,4,74,2,7.0,0.2
Mexico,585,110,8,2,4,573,1,5.0,0.06
Liberia,3,0,0,0,0,3,0,0.6,0.0
St. Barth,5,2,0,0,0,5,0,506.0,0.0
Denmark,2046,169,52,11,1,1993,109,353.0,9.0
French Polynesia,30,0,0,0,0,30,0,107.0,0.0
Czechia,2279,354,9,0,11,2259,34,213.0,0.8
Diamond Princess,712,0,10,0,597,105,15,0.0,0.0
Germany,49344,5406,321,54,5673,43350,23,589.0,4.0
Cabo Verde,5,0,1,0,0,4,0,9.0,2.0
Taiwan,267,15,2,0,30,235,0,11.0,0.08
Netherlands,8603,1172,546,112,3,8054,761,502.0,32.0
Ireland,1819,0,19,0,5,1795,47,368.0,4.0
South Africa,1170,243,2,2,12,1156,7,20.0,0.03
USA,94667,9232,1441,146,2453,90773,2463,286.0,4.0
Azerbaijan,165,43,3,0,15,147,6,16.0,0.3
Thailand,1136,91,5,1,97,1034,11,16.0,0.07
Iraq,458,76,40,4,122,296,0,11.0,1.0
Mongolia,11,0,0,0,0,11,0,3.0,0.0
Saint Lucia,3,0,0,0,1,2,0,16.0,0.0
San Marino,223,15,21,0,4,198,12,6572.0,619.0
Turks and Caicos,2,0,0,0,0,2,0,52.0,0.0
China,81340,55,3292,5,74588,3460,1034,57.0,2.0
Sudan,3,0,1,0,0,2,0,0.07,0.02
Saudi Arabia,1104,92,3,0,35,1066,6,32.0,0.09
Eswatini,9,3,0,0,0,9,0,8.0,0.0
Iran,32332,2926,2378,144,11133,18821,2893,385.0,28.0
Greenland,10,4,0,0,2,8,0,176.0,0.0
Syria,5,0,0,0,0,5,0,0.3,0.0
India,887,160,20,0,73,794,0,0.6,0.01
Barbados,24,0,0,0,0,24,0,84.0,0.0
Spain,64059,6273,4934,569,9357,49768,4165,1370.0,106.0
Saint Kitts and Nevis,2,0,0,0,0,2,0,38.0,0.0
Vatican City,4,0,0,0,0,4,0,4994.0,0.0
Nepal,4,1,0,0,1,3,0,0.1,0.0
Finland,1041,83,7,2,10,1024,32,188.0,1.0
Bhutan,3,1,0,0,0,3,0,4.0,0.0
Maldives,16,3,0,0,9,7,0,30.0,0.0
Oman,131,22,0,0,23,108,0,26.0,0.0
UK,14543,2885,759,181,135,13649,163,214.0,11.0
Cambodia,99,1,0,0,11,88,1,6.0,0.0
Kenya,31,0,1,0,1,29,2,0.6,0.02
Libya,1,0,0,0,0,1,0,0.1,0.0
Mauritius,94,13,2,0,0,92,1,74.0,2.0
Curaçao,7,0,1,0,2,4,0,43.0,6.0
Montenegro,75,6,1,0,0,74,1,119.0,2.0
Ethiopia,16,4,0,0,0,16,0,0.1,0.0
Panama,674,0,9,0,2,663,20,156.0,2.0
DRC,51,0,3,0,2,46,0,0.6,0.03
Guyana,5,0,1,0,0,4,0,6.0,1.0
Anguilla,2,0,0,0,0,2,0,133.0,0.0
Chad,3,0,0,0,0,3,0,0.2,0.0
Djibouti,12,1,0,0,0,12,0,12.0,0.0
Chile,1610,304,5,1,43,1562,7,84.0,0.3
France,29155,0,1696,0,4948,22511,3375,447.0,26.0
Kazakhstan,150,37,1,0,3,146,0,8.0,0.05
Malaysia,2161,130,26,3,259,1876,54,67.0,0.8
Norway,3717,345,19,5,6,3692,70,686.0,4.0
Poland,1340,119,16,0,7,1317,3,35.0,0.4
Moldova,199,22,2,1,2,195,33,49.0,0.5
Cameroon,88,13,2,1,2,84,0,3.0,0.08
Saint Martin,11,0,0,0,0,11,0,284.0,0.0
Tunisia,227,30,6,1,2,219,10,19.0,0.5
Aruba,28,0,0,0,1,27,0,262.0,0.0
British Virgin Islands,2,0,0,0,0,2,0,66.0,0.0
Israel,3035,342,12,4,79,2944,49,351.0,1.0
French Guiana,28,0,0,0,6,22,0,94.0,0.0
Gambia,3,0,1,0,0,2,0,1.0,0.4
Hong Kong,518,64,4,0,111,403,5,69.0,0.5
Morocco,333,58,21,10,11,301,1,9.0,0.6
Italy,86498,5909,9134,919,10950,66414,3732,1431.0,151.0
CAR,3,0,0,0,0,3,0,0.6,0.0
Guinea-Bissau,2,0,0,0,0,2,0,1.0,0.0
Kuwait,225,17,0,0,57,168,11,53.0,0.0
New Caledonia,15,1,0,0,0,15,0,53.0,0.0
Slovenia,632,70,9,3,10,613,14,304.0,4.0
Belize,2,0,0,0,0,2,0,5.0,0.0
New Zealand,368,0,0,0,37,331,1,76.0,0.0
Tanzania,13,0,0,0,1,12,0,0.2,0.0
Croatia,586,91,3,0,37,546,14,143.0,0.7
Cyprus,162,16,5,2,4,153,3,134.0,4.0
Equatorial Guinea,12,0,0,0,0,12,0,9.0,0.0
Faeroe Islands,144,4,0,0,54,90,2,2947.0,0.0
Guatemala,25,0,1,0,4,20,0,1.0,0.06
Fiji,5,0,0,0,0,5,0,6.0,0.0
Canada,4610,567,39,0,228,4343,120,122.0,1.0
Indonesia,1046,153,87,9,46,913,0,4.0,0.3
UAE,405,72,2,0,52,351,2,41.0,0.2
Australia,3180,130,13,0,170,2997,23,125.0,0.5
Madagascar,24,1,0,0,0,24,0,0.9,0.0
Sri Lanka,106,0,0,0,7,99,5,5.0,0.0
Ivory Coast,96,0,0,0,3,93,0,4.0,0.0
Vietnam,163,10,0,0,20,143,3,2.0,0.0
Uruguay,238,0,0,0,0,238,3,69.0,0.0
Togo,25,1,0,0,1,24,0,3.0,0.0
Myanmar,8,3,0,0,0,8,0,0.1,0.0
Luxembourg,1605,152,15,6,40,1550,25,2564.0,24.0
Estonia,575,37,1,0,11,563,7,433.0,0.8
Turkey,5698,2069,92,17,42,5564,241,68.0,1.0
Rwanda,50,0,0,0,0,50,0,4.0,0.0
Laos,6,0,0,0,0,6,0,0.8,0.0
Argentina,589,0,13,1,72,504,0,13.0,0.3
Burkina Faso,180,28,9,2,12,159,0,9.0,0.4
Bahamas,9,0,0,0,1,8,0,23.0,0.0
Congo,4,0,0,0,0,4,0,0.7,0.0
Mali,11,7,0,0,0,11,0,0.5,0.0
Bermuda,15,0,0,0,2,13,0,241.0,0.0
Uganda,18,4,0,0,0,18,0,0.4,0.0
Georgia,83,4,0,0,14,69,1,21.0,0.0
Nigeria,65,0,1,0,3,61,0,0.3,0.0
Jamaica,26,0,1,0,2,23,0,9.0,0.3
Seychelles,7,0,0,0,0,7,0,71.0,0.0
Bulgaria,293,29,3,0,9,281,8,42.0,0.4
Channel Islands,80,14,1,0,0,79,0,460.0,6.0
Niger,10,0,1,0,0,9,0,0.4,0.04
Russia,1036,196,3,0,45,988,8,7.0,0.02
Martinique,81,0,1,0,0,80,12,216.0,3.0
Dominican Republic,581,93,20,10,3,558,0,54.0,2.0
Peru,580,0,9,0,14,557,14,18.0,0.3
Mayotte,50,14,0,0,0,50,0,183.0,0.0
Haiti,8,0,0,0,0,8,0,0.7,0.0
Dominica,11,0,0,0,0,11,0,153.0,0.0
Japan,1387,0,47,0,359,981,57,11.0,0.4
Malta,139,5,0,0,2,137,1,315.0,0.0
Gabon,7,0,1,0,0,6,0,3.0,0.4
Guinea,8,4,0,0,0,8,0,0.6,0.0
Bosnia and Herzegovina,232,41,4,1,5,223,1,71.0,1.0
Uzbekistan,88,13,1,1,5,82,8,3.0,0.03
Zimbabwe,5,2,1,0,0,4,0,0.3,0.07
Bangladesh,48,4,5,0,11,32,1,0.3,0.03
Philippines,803,96,54,9,31,718,1,7.0,0.5
Suriname,8,0,0,0,0,8,0,14.0,0.0
Pakistan,1331,130,9,0,23,1299,7,6.0,0.04
Portugal,4268,724,76,16,43,4149,71,419.0,7.0
Trinidad and Tobago,66,1,2,1,1,63,0,47.0,1.0
Ecuador,1595,192,36,2,3,1556,58,90.0,2.0
Romania,1292,263,25,2,115,1152,32,67.0,1.0
Benin,6,0,0,0,0,6,0,0.5,0.0
Monaco,42,9,0,0,1,41,0,1070.0,0.0
Qatar,562,13,0,0,43,519,6,195.0,0.0
Nicaragua,2,0,1,1,0,1,0,0.3,0.2
Egypt,495,0,24,0,102,369,0,5.0,0.2
El Salvador,13,0,0,0,0,13,0,2.0,0.0
Slovakia,269,43,0,0,2,267,1,49.0,0.0
North Macedonia,219,18,3,0,3,213,1,105.0,1.0
